Produto/Unidade,Nível de Comercialização,U.F.,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015
ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (50 kg),,MG,,,,,,,,,,,"43,33","41,00"
,,RS,,,,,,,,,,"39,31","40,03","40,03"
ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg),,SP,,,,,,,,,,,,"47,13"
ARROZ LONGO FINO EM CASCA TIPO 1 (60 kg),,GO,"48,15","42,93","43,44","40,35","43,15","44,53","46,59","42,89","44,26","46,48","48,44","47,69"
,,TO,"50,40","45,00","44,52","44,83","45,59","44,17","42,91","45,00","46,77","54,95","58,00","56,00"
ARROZ LONGO FINO EM CASCA TIPO 2 (60 kg),,GO,"41,33","40,17","38,50","40,50","41,10","39,83","40,87","41,00","41,00","41,80","44,00","45,00"
,,TO,"48,37","42,36","42,27","40,36","38,56","39,25","38,33","39,00","39,83","49,73","51,00","49,75"
ARROZ LONGO FINO EM CASCA TIPO 3 (60 kg),,GO,,,"41,50",,,,,,,,,
ARROZ PARBOILIZADO BENEFICIADO (A) 1 (30 kg) (30 kg),ATACADO,SP,"63,46","61,95","62,16","61,53","62,44","64,03","63,44","63,45","62,95","64,84","63,27","69,05"
AVEIA EM CASCA (60 kg),PRODUTOR,PR,"19,17","20,40","21,18","19,66","22,57","23,09","21,80","21,22","20,80","20,48","20,35","20,82"
,,RS,"23,27","23,15","24,17","25,80","35,76","58,62","26,38","26,38","23,45","19,93","23,45","23,45"
AVEIA EM CASCA BRANCA (60 kg),,RS,,,,,,,,,,"20,71","23,45","23,45"
AZEITE DE BABAÇU (l),,MA,"10,00","10,00","10,00","9,50","9,30","10,00","11,40","12,00","12,00","12,00","10,00",
,,PI,,,,,,,,,,,,"12,00"
,,TO,"10,00","10,00","10,00","10,00",,,,,,,,
BADEJO CONGELADO (kg),,ES,"24,00","24,65","22,75","22,05","20,04","18,50","19,76","21,20","21,40","21,27","21,85","23,60"
BAGRE CONGELADO (kg),,RJ,"2,83","2,45","2,98","3,36","2,78","1,80","2,70","3,93","2,00","2,00","2,00","2,00"
BANANA (20 kg),,PB,"9,52","9,83","13,20","15,43","16,92","18,25","20,60","21,30","21,55","20,00","18,88","18,88"
BANANA DA TERRA (kg),,ES,,,,,,,"1,50","1,58","1,45","1,15","1,13","1,50"
BANANA (kg),,AM,"1,58","1,78","1,69","1,98","2,10","1,85","1,80","1,91","1,46","1,64","1,45","1,48"
BANANA NANICA (kg),ATACADO,AC,"2,40",,,,,,,,"2,65","2,65","2,65",
,,AL,,,,,,,,"3,00",,"3,84","2,00","1,00"
,,BA,"1,56","1,44","1,44","1,57","1,58","1,37","1,40","1,40","1,38","1,42","1,55","1,82"
,,CE,"2,86","3,92","4,00","3,96","4,02","3,80","3,80","3,80","3,41","2,97","3,00","2,93"
,,DF,"1,65","1,59","1,65","1,70","1,74","1,61","1,54","1,81","1,80","1,70","1,83","1,90"
,,ES,"1,14","0,94","0,85","0,90","0,88","0,85","0,82","0,85","0,86","0,78","0,90","0,89"
,,GO,"1,58","1,41","1,57","1,66","1,66","1,66","1,63","1,64","1,65","1,62","1,77","2,00"
,,MG,"0,89","0,91","1,12","1,28","0,92","0,85","0,84","1,12","0,95","0,87","1,22",
,,MS,"1,52","1,46","1,36","1,52","1,52","1,52","1,52","1,52","1,52","1,52","1,86","1,94"
,,PA,"2,20","1,82","1,97","2,03","1,83","1,75","1,61","1,92","1,81","1,80","2,08","2,25"
,,PB,"0,78","0,95","1,02","1,06","1,04","1,11","1,16","1,23","1,23","1,21","1,16","1,18"
,,PI,,,,,"1,30","1,30","1,60","1,50","1,40","1,60","1,70","1,70"
,,PR,"0,75","0,66","0,82","1,09","0,86","0,75","0,72","0,87","0,78","0,75",,"1,24"
,,RJ,"1,39","1,31","1,29","1,32","1,55","1,42","1,32","1,32","1,34","1,37","1,67","1,79"
,,RN,"1,58","1,50","1,58","1,60","1,64","1,68","1,68","1,69","1,70","1,69","1,67","1,67"
,,RS,"1,46","1,39","1,40","1,42","1,37","1,21","1,14","1,32","1,30","1,29","1,63","1,71"
,,SC,"1,00","1,00","0,92","1,00","0,95","0,90","0,90","0,98","0,99","0,98","1,33","1,47"
,,SP,"1,50","1,53","1,44","1,56","1,52","1,57","1,47","1,51","1,51","1,63","1,92","2,01"
,,TO,"1,58",,"1,30","1,43","1,60","1,65","1,65","1,65","1,65","1,65","1,65","1,65"
,PRODUTOR,SC,"0,23","0,20","0,29","0,41","0,34","0,27","0,26","0,38","0,34","0,42","0,75","0,67"
BANANA PACOVAN (1000 un),,PB,,,,,,,,,,,,"78,50"
BANANA PACOVAN (20 kg),,RN,,,,,,,,,,,,"32,00"
BANANA PACOVAN (kg),,RN,,,,,,,,,,,,"1,40"
,,TO,"1,20","1,20","1,20","1,20",,,,,,,,
BANANA PRATA (20 kg),,AC,"28,10","36,75","40,00","37,48","30,10","30,00","26,60","22,75","23,94","27,08","32,31","37,00"
,,BA,"23,45","30,40","27,89","28,03","27,93","27,55","21,04","13,49","14,63","11,55","14,01","20,46"
,,CE,"19,33","19,44","19,88","21,81","23,10","25,56","26,85","27,25","27,25","27,10","26,06","25,50"
,,DF,,,,,,,,,,,"30,00","33,00"
,,ES,"12,87","19,00","22,17","20,25","21,27","23,67","17,67","13,67","13,33","10,53","10,30","11,00"
,,GO,"16,45","18,00","18,64","18,56","20,08","18,89","16,78","13,94","12,94","10,00","12,32","16,69"
,,MG,"24,27","31,50","30,50","31,00","33,60","33,50","26,04","14,00","15,00","15,20","16,50","22,15"
,,PR,"16,92","20,15","21,00","22,50","23,20","24,44","21,30","20,63","17,75","16,00","17,50","18,50"
,,RJ,"12,57","14,50","14,43","15,42","17,63","18,42","21,65","16,61","16,17","15,14","14,31","17,75"
,,RS,"21,20","21,00","30,00","31,00","30,00","29,38","30,00","28,50","21,00","20,00","22,00","24,00"
,,SC,"11,55","14,44","18,69","19,75","19,40","20,69","20,80","19,88","14,13","11,25","15,06","15,56"
,,SE,"18,70","19,00","19,75","21,25","22,05","23,46","21,40","20,50","21,03","20,10","19,06","20,00"
,,TO,,,,,,,,,,,"14,00","14,00"
BANANA PRATA (kg),ATACADO,AC,"1,00",,,,,,,,"1,42","1,42","1,42",
,,AL,,,,,,,,"2,50",,"1,59","1,69","1,61"
,,BA,"1,69","1,78","1,65","1,75","1,77","1,90","1,71","1,50","1,48","1,50","1,40","1,50"
,,CE,"1,13","1,57","1,72","1,76","1,81","1,79","1,80","1,78","1,57","1,57","1,38","1,57"
,,DF,"2,53","2,93","2,73","2,80","2,81","2,67","2,40","2,52","2,06","1,83","1,95","2,20"
,,ES,"1,17","1,48","1,51","1,59","1,75","1,82","1,50","1,19","1,04","0,76","0,84","1,08"
,,GO,"1,87","1,93","2,44","2,55","2,61","2,40","2,16","2,00","1,98","1,83","1,87","2,13"
,,MG,"1,89","2,21","2,08","2,15","2,17","2,23","1,80","1,31","1,13","1,08","1,26",
,,MS,"2,83","2,83","2,83","2,83","2,83","2,87","3,04","3,04","3,03","2,85","2,83","2,81"
,,PA,"1,92","1,99","2,03","2,16","2,12","2,06","1,98","2,00","2,04","1,97","1,85","2,03"
,,PB,"0,68","0,75","0,83","1,10","1,20","1,22","1,16","1,01","1,01","0,94","0,76","0,86"
,,PE,"1,02","0,86","0,85","0,85","0,85","0,85","0,85","0,85","0,85","0,85","0,93","1,00"
,,PI,,,,,"1,30","1,30","1,60","1,60","1,60","1,50","1,70","1,70"
,,PR,"1,62","2,00","2,10","2,18","2,25","2,25","1,87","1,75","1,57","1,40",,"1,54"
,,RJ,"2,34","2,64","2,17","2,25","2,21","2,13","2,02","2,01","1,79","1,62","1,66","1,99"
,,RN,"1,57","1,70","1,78","1,79","1,70","1,70","1,70","1,77","1,80","1,77","1,70","1,70"
,,RS,"1,93","2,37","2,33","2,26","2,28","2,00","2,01","2,13","2,11","1,98","2,13","2,21"
,,SC,"1,33","1,63","1,63","1,56","1,80","1,99","1,73","1,63","1,49","1,31","1,30","1,40"
,,SP,"1,85","2,25","2,20","2,28","2,23","2,37","2,09","1,84","1,86","1,82","1,95","1,91"
,,TO,"2,33",,"2,00","1,80","1,83","1,60","1,60","1,60","1,60","1,60","1,60","1,60"
,PRODUTOR,AM,"2,25","1,85","1,81","1,99","2,00","2,00","2,00","2,00","2,00","2,11","1,95","2,08"
,,AP,"3,20","3,20","3,20","3,20","3,44","3,50","3,50","3,45","3,50","3,50","3,50","3,58"
,,ES,"0,63","0,90","0,98","1,01","1,15","1,24","0,91","0,60","0,59","0,51","0,65","0,88"
,,MG,,,,,,,,,,,,"1,42"
,,PI,,,,,,,,,,,,"0,95"
,,PR,"2,30","2,88","2,88","2,50","2,60","2,50","2,44","2,25","2,50","1,90","2,75","3,00"
,,RN,"1,34","1,40","1,40","1,45","1,50","1,50","1,56","1,61","1,63","1,60","1,60","1,57"
,,RO,"0,93","1,05","0,98","1,23","1,33","1,10","1,20","1,33","1,33","1,20","1,10","1,20"
,,RR,"1,30","1,30","1,30","1,30","1,34","1,45","1,48","1,52","1,58","1,54","1,28","1,12"
,,SP,"1,07","1,56","1,60","1,55","1,48","1,49","1,42","1,14","1,02","0,72","1,01","1,27"
,,TO,"1,18","1,18","1,18","1,18",,,,,,,,
BARU FRUTO (kg),,GO,"0,46","0,50","0,50",,,,"0,35","0,35","0,40","0,45","0,45","0,45"
,,MG,"0,40","0,40",,,,,,,,,,"0,15"
BATATA-DOCE (20 kg),,ES,"23,00",,,,,,,,,,,
BATATA-DOCE (22 kg),,DF,,,,,,,,,,,"28,00","30,67"
,,MG,"35,00","40,00","39,25","36,25","35,60","38,00","40,00","39,50","39,00","38,80","39,00","38,50"
,,RJ,"20,60","19,89","20,18","22,36","24,26","27,96","29,65","28,43","26,08","25,60","24,74","24,50"
,,RS,"22,00","21,25","21,75","28,53","31,11","28,33","29,26","27,50","31,63","37,84","36,03","38,50"
BATATA-DOCE AMARELA (22 kg),,RS,,,,,,,,,,"38,50","36,03","38,50"
BATATA-DOCE AMARELA (kg),ATACADO,PB,"1,33","1,45","1,89","2,01","2,08","2,12","1,95","1,51","1,41","1,55","1,53","1,65"
,PRODUTOR,PB,,,,,,,,,,,,"1,46"
BATATA-DOCE (kg),ATACADO,AC,"1,25",,,,,,,,"2,50","2,50","2,50",
,,AL,,,,,,,,"1,20",,"1,12","1,30","1,31"
,,BA,"1,28","1,50","1,28","1,63","1,57","1,73","1,88","1,77","1,44","1,19","1,33","1,44"
,,CE,"1,94","1,51","1,99","1,99","1,90","1,70","1,43","1,45","1,56","1,64","1,72","1,97"
,,DF,"1,59","1,32","1,27","1,36","1,27","1,04","1,13","1,14","1,14","1,19","1,59","1,71"
,,ES,"1,34","1,13","1,13","1,11","1,02","1,07","1,37","1,47","1,47","1,39","1,44","1,42"
,,GO,"1,09","1,25","1,25","1,25","1,23","1,13","1,25","1,25","1,14","1,10","1,28","1,32"
,,MG,"2,29","2,36","2,31","2,29","2,03","2,12","2,04","2,10","2,07","2,03","2,06",
,,MS,"1,40","1,54","1,54","1,40","1,40","1,46","1,62","1,74","1,71","1,78","1,80","1,80"
,,PE,"1,37","1,67","1,75","1,89","2,00","2,00","1,89","1,67","1,59","1,67","1,67","1,67"
,,PI,,,,,"1,57","1,40","1,50","1,50","1,40","1,40","1,50","1,60"
,,PR,"1,60","1,59","1,74","1,69","1,59","1,44","1,27","1,27","1,29","1,59",,"1,59"
,,RJ,"1,70","1,70","1,72","1,27","1,28","1,46","1,41","1,28","1,30","1,16","1,28","1,25"
,,RN,"1,15","1,32","1,56","1,84","1,84","1,88","1,66","1,20","1,20","1,39","1,42","1,57"
,,RS,"1,75","1,50","1,51","1,25","1,25","1,25","1,31","1,25","1,48","1,50","1,81","1,86"
,,SC,"1,14","0,98","0,91","0,91","0,84","0,97","1,17","1,24","1,14","1,17","1,31","1,47"
,,SP,"1,36","1,70","1,85","1,76","1,54","1,70","1,76","1,50","1,66","1,65","1,84","1,96"
,,TO,"2,49",,"2,27","2,49","2,37","2,24","2,41","2,28","2,21","2,08","2,54","2,58"
,PRODUTOR,AC,,,,,,,,,,,"2,50","2,60"
,,AM,"1,94","2,40","2,23","1,88","2,10","2,00",,,,,,
,,BA,"2,21","2,50","1,16","2,09","2,00","2,25","2,29","2,44","2,18","2,24","2,32","2,40"
,,ES,,,,,,,,,,,,"1,13"
,,PR,"1,78","1,80","1,80","1,80","1,64","1,80","1,82","1,80","1,80","1,80","1,95","1,95"
,,RN,,,,,,,,,,,,"1,56"
,,SC,"0,71","0,71","0,59","0,61","0,67","0,61","0,56","0,61","0,68","1,07","1,13","1,25"
BATATA INGLESA (50 kg),,BA,"104,50","96,25","87,50","88,33","96,00","97,50","97,50","85,50","50,00","70,00","101,25","93,33"
,,ES,"90,60","90,00","90,00","90,00",,,"63,40","62,50","65,00","51,00","85,00","101,75"
,,MG,"50,00","72,50","100,00","72,50","74,00",,,,"57,50","62,50","85,00","87,50"
,,PR,"50,50","70,00","67,00","62,50","67,00","67,13","75,00","45,00","85,00","50,00","95,00","110,00"
,,RS,"50,00","53,40","63,75","58,75","54,00","65,00","72,00","61,25","75,00","73,00","87,50","87,50"
,,SC,"79,58","66,67","52,31","46,25","50,00",,,,,,,
BATATA INGLESA BRANCA (50 kg),,RS,,,,,,,,,,"78,33","87,50","87,50"
BATATA INGLESA (kg),ATACADO,AC,"1,90",,,,,,,,"2,10","2,10","2,10",
,,AL,,,,,,,,"1,60",,"2,01","3,19","3,13"
,,BA,"2,98","2,52","2,23","2,28","2,16","2,62","2,56","1,86","2,10","1,66","2,50","2,52"
,,CE,"3,41","2,84","2,51","2,54","2,87","2,92","2,76","2,23","2,48","2,02","2,93","3,13"
,,DF,"2,91","2,60","2,50","2,10","2,30","2,28","2,22","1,71","1,88","1,55","3,37","2,96"
,,ES,"2,80","2,50","2,27","2,06","2,18","2,22","2,13","1,60","1,86","1,51","2,68","2,50"
,,GO,"2,98","2,68","3,27","1,27","1,43","2,30","2,19","1,73","1,87","1,41","2,98","2,77"
,,MG,"1,79","1,86","1,63","1,54","1,50","1,67","1,58","1,28","1,55","1,05","2,00",
,,MS,"2,98","2,56","2,42","1,95","2,28","2,56","2,48","1,76","2,16","1,71","3,30","2,94"
,,PA,"3,49","3,00","2,90","2,82","2,88","3,00","2,89","2,16","2,52","2,16","3,31","3,40"
,,PB,"3,18","2,76","2,31","2,32","2,71","2,80","2,72","1,76","2,28","1,72","2,74","2,78"
,,PE,"3,32","2,85","2,32","2,43","2,88","2,97","2,77","1,88","2,38","1,86","2,77","2,80"
,,PI,,,,,"2,30","2,80","3,00","2,00","2,10","2,00","2,50","2,80"
,,PR,"2,63","2,17","1,78","1,76","1,67","1,88","1,94","1,55","1,99","1,60",,"1,95"
,,RJ,"2,06","2,12","2,01","1,61","1,67","1,91","1,87","1,62","1,87","1,48","2,02","2,10"
,,RN,"2,88","2,50","2,08","2,02","2,26","2,70","2,41","1,72","2,44","1,54","2,61","2,49"
,,RS,"2,56","1,82","1,48","1,48","1,58","1,79","2,01","1,59","2,02","1,61","2,66","2,19"
,,SC,"1,95","1,53","1,37","1,18","1,24","1,53","1,66","1,48","1,67","1,39","2,27","1,85"
,,SP,"2,56","2,52","2,26","2,07","2,10","2,29","2,23","1,91","2,61","2,26","3,28","3,16"
,,TO,"3,80",,"3,23","2,55","2,74","2,90","2,70","2,22","2,51","1,84","3,92","3,49"
,PRODUTOR,DF,,,,,,,,,,,"1,26","1,43"
,VAREJO,BA,,,,,,,,,,,,"3,67"
,,CE,,,,,,,,,,,,"3,22"
,,DF,,,,,,,,,,,"5,19","4,78"
,,ES,,,,,,,,,,,"4,37","3,91"
,,GO,,,,,,,,,,,"4,00","3,92"
,,MG,,,,,,,,,,,"3,99","4,10"
,,PA,,,,,,,,,,,"5,20","4,47"
,,PB,,,,,,,,,,,,"4,52"
,,PI,,,,,,,,,,,,"2,90"
,,RJ,,,,,,,,,,,"3,32","3,40"
,,RO,,,,,,,,,,,"2,79","2,82"
,,SP,,,,,,,,,,,"4,40","4,35"
,,TO,,,,,,,,,,,"5,49","4,33"
BATATA INGLESA LISA (kg),,PR,,,,,,,,,,"2,58","4,31","3,05"
BEZERRO ATÉ 1 ANO (un),PRODUTOR,ES,"811,83","786,46","822,08","856,07","845,16","855,66","869,70","887,86","875,97","893,12","946,84","928,28"
BOI GORDO (15 kg),,AC,,,,,,,,,,"123,10","121,25","117,00"
,,BA,,,,,,,,,,,,"146,68"
,,DF,,,,,,,,,,,"141,00","141,00"
,,ES,"127,44","125,53","125,57","127,75","129,08","130,99","132,67","132,83","134,17","136,28","139,40","141,72"
,,GO,"138,79","137,31","137,31","141,61","141,15","139,30","135,34","132,65","135,69","138,69","139,98","138,42"
,,MG,"134,25","132,63","132,84","137,63","136,26","134,76","132,03","127,14","134,73","137,98","138,69","139,66"
,,MS,"136,20","136,50","138,25","141,50","141,00","140,00","137,40","135,00","134,94","136,80","138,75","132,75"
,,MT,"131,32","131,64","131,69","134,26","136,48","135,55","131,73","125,70","126,77","128,50","129,68","129,33"
,,PB,,,,,,,,,,"135,00","135,00","135,25"
,,PR,,,,,,,,,,"145,46","146,73","148,10"
,,RJ,,,,,,,,,,"150,00","150,00","150,00"
,,SP,"143,94","143,01","143,63","146,00","148,96","146,97","146,74","143,58","144,41","144,67","147,22","148,41"
,,TO,"126,00","128,00","125,67","130,11","132,47","131,00","130,33","128,92","134,17","138,87","140,67","137,83"
"BOI GORDO, RASTREADO (15 kg)",,MS,"136,20","136,50","138,25","141,50","141,00","140,00","137,40","135,00","135,00","136,80","138,75","132,75"
BOI MAGRO (cabeça),,TO,"1.316,67","1.316,67","1.316,67","1.437,50","1.723,33","1.775,00","1.806,67","1.866,67","1.833,33","1.750,00","1.741,67","1.735,00"
BOI VIVO (15 kg),,PR,"140,20","140,17","140,94","144,18","146,17","144,96","145,42","145,24","145,51","145,48","146,42","147,66"
BOI VIVO (kg),,CE,"4,10","4,02","4,13","4,13","4,24","4,48","4,80","4,84","4,89","4,90","4,90","4,90"
BORRACHA CERNAMBI VIRGEM PRENSADO (kg),,AC,"1,50","1,50","1,50","1,55","1,60","1,60","1,60","1,65","1,70","1,70","1,70","1,70"
,,AM,"1,70","1,50","1,50","1,50","1,50","1,50","1,50","1,51","1,66","2,01","2,01","2,01"
,,ES,"1,88","1,89","1,92","2,07","2,12","2,22","2,25","2,25","2,36","2,39","2,36","2,38"
,,MT,"1,54","1,60","1,53","1,50","1,68","1,73","1,65","1,65","1,65","1,65","1,65","1,85"
,,PA,"1,50",,,,,,,,,,,
,,PR,,,,,,,,,,"2,10","2,10","2,10"
,,RO,"1,65","2,10","1,98","2,20","2,30","1,60","1,73","1,70","2,35","2,35","2,35","2,35"
BORRACHA FOLHA DE DEFUMAÇÃO LÍQUIDA-FDL (kg),,AC,"7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00"
BORRACHA LATEX (kg),,MG,"1,05","1,06","1,10","1,10","1,13","1,16","1,17","1,17","1,17","1,18","1,19","1,19"
BORRACHA NATURAL DRC 53% (kg),,GO,"1,61","1,66","1,69","1,80","1,81","1,82","1,83","1,87","1,87","1,85","1,84","1,84"
,,SP,"1,60","1,60","1,50","1,20","1,32","1,53","1,71","1,74","1,75","1,83","1,91","2,08"
BORRACHA NATURAL DRC 64% (kg),,MG,"1,86","1,91","1,95","1,95","1,97","2,01","2,06","2,06","2,18","2,19","2,18","2,16"
BORRACHA NATURAL (kg),,BA,"1,45","1,65","1,56","1,66","1,60","1,83","1,85","1,80","1,95","1,93","2,00","1,99"
,,ES,,,,,,"2,22","2,25","2,25","2,28","2,37","2,36","2,38"
,,MA,"1,74","1,50","1,50","1,54","2,04","2,56","2,60","1,95","1,96","1,88","1,95","2,05"
,,PR,"1,80","1,80","1,80","1,80","1,87","1,89","1,89","1,82","1,90","2,22","2,15","2,15"
,,RJ,"1,87","1,84",,,,,,,,,,
,,TO,"1,77","1,80","1,68","1,70","1,73","1,70","1,71","1,75","1,75","1,75","1,75","1,75"
BURITI FIBRA (100 talas),,PA,"100,00",,,,,,,,,,,
BURITI FIBRA (kg),,MA,"30,00","30,00","30,00","30,63","33,00","33,00","33,00","33,00","32,00","28,81","29,14","29,50"
CAÇÃO CONGELADO (kg),,ES,"13,80","13,38","13,88","14,10","11,20","10,20","10,54","10,75","11,40","13,02","13,45","13,35"
CACAU (@),,RO,"85,00","85,00","80,00","96,00","95,63","105,00",,,,,,"112,50"
CACAU (60 kg),,ES,"417,00","412,50","447,50","440,00","455,00","486,25","482,00","480,00","496,25","538,00","553,75","595,00"
CAFÉ ARÁBICA (250 g),ATACADO,RJ,"2,98","3,04","3,11","3,12","3,17","3,22","3,20","3,16","3,17","3,23","3,34","3,35"
CAFÉ ARÁBICA (60 kg),,BA,"481,50","472,50",,,,,,,,,,
,,ES,"301,20","296,20","299,95","303,73","298,83","305,25","309,33","325,60","330,31","334,35","328,16","364,78"
,,PR,"404,26","402,73","397,67","412,54","392,51","383,63","387,41","406,60","402,37","423,80","412,43","418,65"
,PRODUTOR,BA,"437,01","420,32","407,87","425,11","397,71","402,16","405,07","438,57","434,84","454,64","435,44","438,20"
,,CE,"424,00","391,69","410,93","421,84","419,67","404,34","404,00","400,00","414,34","415,98","416,02","419,01"
,,ES,"290,50","298,50","297,50","302,00","298,10","303,88","308,40","321,25","322,88","330,30","323,88","332,25"
,,GO,"440,56","434,09","429,48","423,94","396,23","409,68","400,45","424,59","403,59","405,36","425,99","446,31"
,,MG,"464,22","455,93","439,94","446,82","418,13","417,90","412,02","453,45","448,54","471,21","463,57","475,58"
,,MS,"382,00","390,00","390,00","390,00","390,00","390,00","390,00","360,00","360,00","360,00","360,00","360,00"
,,PE,"346,00","334,58","327,50","336,67","341,33","349,17","341,67","344,83","348,67","339,00","342,92","346,67"
,,PR,"399,86","386,76","383,66","380,82","368,64","377,06","383,06","397,39","394,48","418,75","410,63","418,25"
,,RJ,"426,50","424,38","413,67","408,75","385,00","361,88","377,50","380,63","391,63","424,20","431,25","425,63"
,,SP,"493,34","467,00","433,69","452,60","451,33","435,82","428,20","431,59","435,25","435,23","446,54","456,52"
CAFÉ ARÁBICA (kg),ATACADO,AM,"12,31","12,66","13,20","12,65","11,95","11,10","11,16","12,75","12,30","12,48","12,83","13,10"
"CAFÉ ARÁBICA TIPO 6, BEBIDA DURA (60 kg)",PRODUTOR,BA,,,,,,,,,,,,"420,00"
,,DF,,,,,,,,,,,,"450,00"
,,ES,"445,00","430,00","392,50","412,50","418,00","427,50","411,00","426,67","398,67","432,00","423,75","432,50"
,,GO,,,,,,,,,,,"435,00","445,00"
,,MG,,,,,,,,,,,"463,33","476,25"
,,PR,,,,,,,,,,"402,50","389,38","391,88"
,,RJ,,,,,,,,,,,"430,00","425,63"
,,SP,,,,,,,,,,,,"477,27"
CAFÉ ARÁBICA TIPO 7 (60 kg),ATACADO,ES,,,,,,,,,,,"327,13","336,70"
,PRODUTOR,ES,,,,,,"304,50","305,00","325,50","324,75","323,20","321,00","328,88"
CAFÉ ARÁBICA TIPO 7 E Rio 12% UMIDADE (60 kg),,ES,,,,,,,,,,,"335,00",
CAFÉ CONILLON (60 kg),ATACADO,ES,"267,32","284,63","285,70","284,44","273,37","288,59","298,76","317,35","330,03","349,66","362,23","364,35"
,PRODUTOR,AC,"238,00","250,00","250,00","250,00","244,00","240,00","237,00","242,50","241,00","185,30","136,25","156,25"
,,ES,"265,70","276,97","285,26","281,79","276,04","281,21","286,99","315,11","324,51","344,71","359,42","363,46"
,,MT,"250,20","260,00","268,75","270,00","270,00","272,50","280,00","268,00","268,00","279,80","285,00","285,00"
,,RO,"218,48","224,53","232,22","231,11","231,44","231,53","245,28","253,39","266,57","290,66","300,69","307,38"
CAFÉ CONILLON BICA CORRIDA (60 kg),,RO,,,,,,,,,,,"321,67","303,56"
CAFÉ CONILLON (kg),,AM,"3,14","3,16","3,17","3,25","3,26","2,75","3,16","3,33","3,33","3,33","3,31","3,26"
CAFÉ CONILLON TIPO 7 (60 kg),ATACADO,ES,,,,,,,,,,,"362,13","364,35"
,PRODUTOR,AC,,,,,,,,,,,,"225,00"
,,ES,,,,,,,,,,,"358,67","363,56"
CAFÉ CONILLON TIPO 7/8 - 13% UMID BROCADO (60 kg),,BA,"270,00","285,50","282,50","281,25","270,00","277,50","286,00","307,50","320,00","333,00","355,00","357,50"
CAFÉ MOÍDO E TORRADO (10 kg),ATACADO,AL,,,,,,,,,,,,"138,27"
,,AP,,,,,,,,,,,"66,74","66,10"
,,DF,,,,,,,,,,,,"107,80"
,,GO,,,,,,,,,,,,"65,22"
,,PA,,,,,,,,,,,,"119,63"
,,PB,,,,,,,,,,,,"141,85"
,,PI,,,,,,,,,,,,"77,60"
,,PR,,,,,,,,,,"129,70","128,30","161,65"
,,RN,,,,,,,,,,,,"110,00"
,,RO,,,,,,,,,,,"117,00","140,61"
,,RR,,,,,,,,,,"147,05","149,60","139,37"
,,SC,,,,,,,,,,,"145,61","146,92"
,,SP,,,,,,,,,,,"129,00","131,47"
CAFÉ MOÍDO E TORRADO (250 g),,RJ,,,,,,,,,,,"3,37","3,35"
,VAREJO,GO,"4,10","3,83","4,23","4,28","4,20","4,13","4,23","4,27","4,24","4,17","4,44","4,59"
,,RJ,"3,82","4,00","4,12","4,09","3,95","3,87","4,18","4,04","4,11","4,21","4,00","4,31"
,,RS,,,,,,,,,,,"4,55","6,74"
,,SP,"2,80","3,50","3,70","3,34","3,47","3,50","3,48","3,50","3,36","3,44","3,50","3,55"
,,TO,"4,05","3,92","4,19","3,98","4,07","3,95","4,06","4,24","4,21","4,21","4,34","4,34"
CAFÉ MOÍDO E TORRADO (500 g),,AP,,,,,,,,,,,"6,72","6,72"
,,MG,,,,,,,,,,,"7,18","7,18"
,,RR,,,,,,,,,,"7,58","7,80","7,52"
,,SC,,,,,,,,,,"7,74","8,55","8,48"
CAFÉ MOÍDO E TORRADO (5 kg),ATACADO,AC,,,,,,,,,,,"44,57","43,05"
,,BA,,,,,,,,,,,,"62,15"
,,ES,,,,,,,,,,,"66,20","65,93"
,,MG,,,,,,,,,,,"19,30","32,83"
,,TO,,,,,,,,,,,,"67,90"
CAMARÃO SETE BARBA (kg),PRODUTOR,ES,"11,41","11,97","12,91","17,11",,"9,42","9,72","9,29","9,63","9,34","9,94","10,75"
CANA DE AÇÚCAR (t),,AL,"60,01","57,60","59,91","62,82","62,44","61,11","64,83","66,44","66,87","68,17","72,24","74,82"
,,BA,,,,"53,19","66,67","80,00","73,80","63,33","65,00","67,52","71,38",
,,CE,"77,60","77,70","78,00","78,00","79,80","80,75","80,00","80,00","99,50","119,00","64,70","64,70"
,,ES,"52,30","35,83","38,76","38,30","38,69","36,64","50,61","50,45","50,59","52,49","53,69","54,17"
,,MA,"55,00","57,77","58,54","61,97","66,69","55,00","56,53","60,00","61,50","76,08","86,14","83,80"
,,MG,,,,,,,"58,79","58,31","58,13","58,12","59,89","71,96"
,,PB,"61,84","63,05","64,26","64,70","66,52","67,86","69,22","70,34","70,29","70,71","82,50","90,60"
,,PE,"61,84","63,05","64,26","64,70","66,52","67,86","66,02","74,34","70,29","70,63","82,82","90,60"
,,PI,"85,00","85,00","85,00","87,25","88,00","88,00","88,00","88,00","88,00","88,00","88,00","88,00"
,,RJ,"52,98","54,59","56,29","58,07","58,22","57,21","56,25","54,08","52,77","52,99","56,38","62,46"
,,RN,"61,76","63,54","64,56","64,35","66,03","67,86","68,87","70,38","70,28","70,71","78,53","88,66"
,,SE,"71,10","72,63","71,00","60,31","57,79",,,,,"75,00","72,50","82,63"
